INFO:root:PID: 0, Name: System Idle Process, CPU Usage: 0.0%
INFO:root:PID: 4, Name: System, CPU Usage: 0.0%
INFO:root:PID: 140, Name: , CPU Usage: 0.0%
INFO:root:PID: 180, Name: Registry, CPU Usage: 0.0%
INFO:root:PID: 348, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 352, Name: python.exe, CPU Usage: 0.0%
INFO:root:PID: 380, Name: Code.exe, CPU Usage: 0.0%
INFO:root:PID: 392, Name: Code.exe, CPU Usage: 0.0%
INFO:root:PID: 404, Name: msedgewebview2.exe, CPU Usage: 0.0%
INFO:root:PID: 628, Name: RtkAudUService64.exe, CPU Usage: 0.0%
INFO:root:PID: 708, Name: msedgewebview2.exe, CPU Usage: 0.0%
INFO:root:PID: 768, Name: smss.exe, CPU Usage: 0.0%
INFO:root:PID: 852, Name: chrome.exe, CPU Usage: 0.0%
INFO:root:PID: 980, Name: SecurityHealthSystray.exe, CPU Usage: 0.0%
INFO:root:PID: 1004, Name: unsecapp.exe, CPU Usage: 0.0%
INFO:root:PID: 1052, Name: winlogon.exe, CPU Usage: 0.0%
INFO:root:PID: 1096, Name: chrome.exe, CPU Usage: 0.0%
INFO:root:PID: 1216, Name: csrss.exe, CPU Usage: 0.0%
INFO:root:PID: 1708, Name: LsaIso.exe, CPU Usage: 0.0%
INFO:root:PID: 1716, Name: lsass.exe, CPU Usage: 0.0%
INFO:root:PID: 1800, Name: csrss.exe, CPU Usage: 0.0%
INFO:root:PID: 1884, Name: python.exe, CPU Usage: 0.0%
INFO:root:PID: 1896, Name: wininit.exe, CPU Usage: 0.0%
INFO:root:PID: 1912, Name: cmd.exe, CPU Usage: 0.0%
INFO:root:PID: 1976, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2016, Name: services.exe, CPU Usage: 0.0%
INFO:root:PID: 2076, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2104, Name: fontdrvhost.exe, CPU Usage: 0.0%
INFO:root:PID: 2164, Name: WUDFHost.exe, CPU Usage: 0.0%
INFO:root:PID: 2248, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2292, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2368, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2388, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2396, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2424, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2448, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2460, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2484, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2544, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2616, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2624, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2680, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2688, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2700, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2808, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2904, Name: IntelCpHDCPSvc.exe, CPU Usage: 0.0%
INFO:root:PID: 2916, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2932, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 2964, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3000, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3052, Name: mfemms.exe, CPU Usage: 0.0%
INFO:root:PID: 3056, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3108, Name: WhatsApp.exe, CPU Usage: 0.0%
INFO:root:PID: 3120, Name: ipf_uf.exe, CPU Usage: 0.0%
INFO:root:PID: 3156, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3216, Name: chrome.exe, CPU Usage: 0.0%
INFO:root:PID: 3320, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3352, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3440, Name: SSScheduler.exe, CPU Usage: 0.0%
INFO:root:PID: 3452, Name: msedgewebview2.exe, CPU Usage: 0.0%
INFO:root:PID: 3460, Name: WUDFHost.exe, CPU Usage: 0.0%
INFO:root:PID: 3468, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3492, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3540, Name: python.exe, CPU Usage: 0.0%
INFO:root:PID: 3628, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3652, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3660, Name: svchost.exe, CPU Usage: 0.0%
INFO:root:PID: 3684, Name: chrome.exe, CPU Usage: 0.0%
INFO:root:PID: 3800, Name: WUDFHost.exe, CPU Usage: 0.0%
INFO:root:PID: 3808, Name: SDXHelper.exe, CPU Usage: 0.0%
INFO:root:PID: 3956, Name: svchost.exe, CPU Usage: 0.0%
